辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形)
現代語,B,ろまん,ロマン-roman,ロマン,名詞-普通名詞-一般,,,ロマン,ロマン,外,ろまん,ロマン
現代語,I,燈籠,灯籠,トウロウ,名詞-普通名詞-一般,,,ドーロー,ドウロウ,漢,燈籠,トウロウ
現代語,B,太宰,ダザイ,ダザイ,名詞-固有名詞-人名-姓,,,ダザイ,ダザイ,固,太宰,ダザイ
現代語,I,治,オサム,オサム,名詞-固有名詞-人名-名,,,オサム,オサム,固,治,オサム
現代語,B,:n::n::n:　,　,,空白,,,,,記号,　,
現代語,I,　,　,,空白,,,,,記号,　,
現代語,I,　,　,,空白,,,,,記号,　,
現代語,I,　,　,,空白,,,,,記号,　,
現代語,I,　,　,,空白,,,,,記号,　,
現代語,I,　,　,,空白,,,,,記号,　,
現代語,I,　,　,,空白,,,,,記号,　,
現代語,I,その,其の,ソノ,連体詞,,,ソノ,ソノ,和,その,ソノ
現代語,I,一,一,イチ,名詞-数詞,,,イチ,イチ,漢,一,イチ
現代語,B,:n:　,　,,空白,,,,,記号,　,
現代語,I,八,八,ハチ,名詞-数詞,,,ハチ,ハチ,漢,八,ハチ
現代語,I,年,年,ネン,名詞-普通名詞-助数詞可能,,,ネン,ネン,漢,年,ネン
現代語,I,まえ,前,マエ,名詞-普通名詞-副詞可能,,,マエ,マエ,和,まえ,マエ
現代語,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ
現代語,I,亡,無い,ナイ,形容詞-非自立可能,文語形容詞-ク,連体形-一般,ナキ,ナキ,和,亡し,ナシ
現代語,I,なく,無い,ナイ,形容詞-非自立可能,形容詞,連用形-一般,ナク,ナク,和,ない,ナイ
現代語,I,なっ,成る,ナル,動詞-非自立可能,五段-ラ行,連用形-促音便,ナッ,ナッ,和,なる,ナル
現代語,I,た,た,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,あの,彼の,アノ,連体詞,,,アノ,アノ,和,あの,アノ
現代語,I,有名,有名,ユウメイ,形状詞-一般,,,ユーメー,ユウメイ,漢,有名,ユウメイ
現代語,I,な,だ,ダ,助動詞,助動詞-ダ,連体形-一般,ナ,ナ,和,だ,ダ
