辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形)
現代語,B,富嶽,富岳,フガク,名詞-普通名詞-一般,,,フガク,フガク,漢,富嶽,フガク
現代語,I,百景,百景,ヒャッケイ,名詞-普通名詞-一般,,,ヒャッケー,ヒャッケイ,漢,百景,ヒャッケイ
現代語,B,太宰,ダザイ,ダザイ,名詞-固有名詞-人名-姓,,,ダザイ,ダザイ,固,太宰,ダザイ
現代語,I,治,オサム,オサム,名詞-固有名詞-人名-名,,,オサム,オサム,固,治,オサム
現代語,B,:n::n::n:　,　,,空白,,,,,記号,　,
現代語,I,富士,フジ,フジ,名詞-固有名詞-地名-一般,,,フジ,フジ,固,富士,フジ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,頂角,頂角,チョウカク,名詞-普通名詞-一般,,,チョーカク,チョウカク,漢,頂角,チョウカク
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,広重,ヒロシゲ,ヒロシゲ,名詞-固有名詞-人名-姓,,,ヒロシゲ,ヒロシゲ,固,広重,ヒロシゲ
現代語,I,ひろしげ,ヒロシゲ,ヒロシゲ,名詞-固有名詞-人名-名,,,ヒロシゲ,ヒロシゲ,固,ひろしげ,ヒロシゲ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,富士,フジ,フジ,名詞-固有名詞-地名-一般,,,フジ,フジ,固,富士,フジ
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,八十,八十,ハチジュウ,名詞-数詞,,,ハチジュー,ハチジュウ,漢,八十,ハチジュウ
現代語,I,五,五,ゴ,名詞-数詞,,,ゴ,ゴ,漢,五,ゴ
現代語,I,度,度,ド,名詞-普通名詞-助数詞可能,,,ド,ド,漢,度,ド
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,文晁,ブンチョウ,ブンチョウ,名詞-固有名詞-人名-名,,,ブンチョー,ブンチョウ,固,文晁,ブンチョウ
現代語,I,ぶん,振る,ブル,接尾辞-動詞的,五段-ラ行,連用形-撥音便,ブン,ブン,和,ぶる,ブル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,う,うー,ウー,感動詞-フィラー,,,ウ,ウ,和,う,ウ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,富士,フジ,フジ,名詞-固有名詞-地名-一般,,,フジ,フジ,固,富士,フジ
現代語,I,も,も,モ,助詞-係助詞,,,モ,モ,和,も,モ
現代語,I,八十,八十,ハチジュウ,名詞-数詞,,,ハチジュー,ハチジュウ,漢,八十,ハチジュウ
現代語,I,四,四,ヨン,名詞-数詞,,,ヨ,ヨ,和,四,ヨ
現代語,I,度,度,ド,名詞-普通名詞-助数詞可能,,,ド,ド,漢,度,ド
現代語,I,くらゐ,くらい,クライ,助詞-副助詞,,,クライ,クラヰ,和,くらゐ,クライ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,けれど,けれど,ケレド,接続詞,,,ケレド,ケレド,和,けれど,ケレド
現代語,I,も,も,モ,助詞-係助詞,,,モ,モ,和,も,モ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,陸軍,陸軍,リクグン,名詞-普通名詞-一般,,,リクグン,リクグン,漢,陸軍,リクグン
