辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形)
現代語,B,女,女,オンナ,名詞-普通名詞-一般,,,オンナ,オンナ,和,女,オンナ
現代語,I,生徒,生徒,セイト,名詞-普通名詞-一般,,,セート,セイト,漢,生徒,セイト
現代語,B,太宰,ダザイ,ダザイ,名詞-固有名詞-人名-姓,,,ダザイ,ダザイ,固,太宰,ダザイ
現代語,I,治,オサム,オサム,名詞-固有名詞-人名-名,,,オサム,オサム,固,治,オサム
現代語,B,:n::n::n:　,　,,空白,,,,,記号,　,
現代語,I,あさ,朝,アサ,名詞-普通名詞-副詞可能,,,アサ,アサ,和,あさ,アサ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,眼,目,メ,名詞-普通名詞-一般,,,メ,メ,和,眼,メ
現代語,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ
現代語,I,さます,覚ます,サマス,動詞-一般,五段-サ行,連体形-一般,サマス,サマス,和,さます,サマス
現代語,I,とき,時,トキ,名詞-普通名詞-副詞可能,,,トキ,トキ,和,とき,トキ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,気持,気持ち,キモチ,名詞-普通名詞-一般,,,キモチ,キモチ,混,気持,キモチ
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,面白い,面白い,オモシロイ,形容詞-一般,形容詞,終止形-一般,オモシロイ,オモシロイ,和,面白い,オモシロイ
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,かくれんぼ,隠れん坊,カクレンボウ,名詞-普通名詞-一般,,,カクレンボ,カクレンボ,混,かくれんぼ,カクレンボ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,とき,時,トキ,名詞-普通名詞-副詞可能,,,トキ,トキ,和,とき,トキ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,押入れ,押し入れ,オシイレ,名詞-普通名詞-一般,,,オシイレ,オシイレ,和,押入れ,オシイレ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,真っ,真,マ,接頭辞,,,マッ,マッ,和,真っ,マッ
現代語,I,暗い,暗い,クライ,形容詞-一般,形容詞,連体形-一般,クライ,クライ,和,暗い,クライ
現代語,I,中,中,ナカ,名詞-普通名詞-副詞可能,,,ナカ,ナカ,和,中,ナカ
現代語,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,じっと,じっと,ジット,副詞,,,ジット,ジット,和,じっと,ジット
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,しゃがん,しゃがむ,シャガム,動詞-一般,五段-マ行,連用形-撥音便,シャガン,シャガン,和,しゃがむ,シャガム
現代語,I,で,て,テ,助詞-接続助詞,,,デ,デ,和,で,デ
現代語,I,隠れ,隠れる,カクレル,動詞-一般,下一段-ラ行,連用形-一般,カクレ,カクレ,和,隠れる,カクレル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,い,居る,イル,動詞-非自立可能,上一段-ア行,連用形-一般,イ,イ,和,いる,イル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,突然,突然,トツゼン,副詞,,,トツゼン,トツゼン,漢,突然,トツゼン
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
