辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形)
現代語,B,駈込み,駆け込む,カケコム,動詞-一般,五段-マ行,連用形-一般,カケコミ,カケコミ,和,駈込む,カケコム
現代語,I,訴え,訴える,ウッタエル,動詞-一般,下一段-ア行,連用形-一般,ウッタエ,ウッタエ,和,訴える,ウッタエル
現代語,B,太宰,ダザイ,ダザイ,名詞-固有名詞-人名-姓,,,ダザイ,ダザイ,固,太宰,ダザイ
現代語,I,治,オサム,オサム,名詞-固有名詞-人名-名,,,オサム,オサム,固,治,オサム
現代語,B,:n::n::n:　,　,,空白,,,,,記号,　,
現代語,I,申し上げ,申し上げる,モウシアゲル,動詞-一般,下一段-ガ行,連用形-一般,モーシアゲ,モウシアゲ,和,申し上げる,モウシアゲル
現代語,I,ます,ます,マス,助動詞,助動詞-マス,終止形-一般,マス,マス,和,ます,マス
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,申し上げ,申し上げる,モウシアゲル,動詞-一般,下一段-ガ行,連用形-一般,モーシアゲ,モウシアゲ,和,申し上げる,モウシアゲル
現代語,I,ます,ます,マス,助動詞,助動詞-マス,終止形-一般,マス,マス,和,ます,マス
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,旦那,旦那,ダンナ,名詞-普通名詞-一般,,,ダンナ,ダンナ,外,旦那,ダンナ
現代語,I,さま,様,サマ,接尾辞-名詞的-一般,,,サマ,サマ,和,さま,サマ
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,あの,彼の,アノ,連体詞,,,アノ,アノ,和,あの,アノ
現代語,I,人,人,ヒト,名詞-普通名詞-一般,,,ヒト,ヒト,和,人,ヒト
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,酷,酷,コク,形状詞-一般,,,コク,コク,漢,酷,コク
現代語,I,ひどい,酷い,ヒドイ,形容詞-一般,形容詞,終止形-一般,ヒドイ,ヒドイ,和,ひどい,ヒドイ
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,酷い,酷い,ヒドイ,形容詞-一般,形容詞,終止形-一般,ヒドイ,ヒドイ,和,酷い,ヒドイ
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,はい,はい,ハイ,感動詞-一般,,,ハイ,ハイ,和,はい,ハイ
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,厭,嫌,イヤ,形状詞-一般,,,イヤ,イヤ,和,厭,イヤ
現代語,I,いや,嫌,イヤ,形状詞-一般,,,イヤ,イヤ,和,いや,イヤ
現代語,I,な,だ,ダ,助動詞,助動詞-ダ,連体形-一般,ナ,ナ,和,だ,ダ
現代語,I,奴,奴,ヤツ,名詞-普通名詞-一般,,,ヤツ,ヤツ,和,奴,ヤツ
現代語,I,です,です,デス,助動詞,助動詞-デス,終止形-一般,デス,デス,和,です,デス
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,悪い,悪い,ワルイ,形容詞-一般,形容詞,連体形-一般,ワルイ,ワルイ,和,悪い,ワルイ
現代語,I,人,人,ヒト,名詞-普通名詞-一般,,,ヒト,ヒト,和,人,ヒト
現代語,I,です,です,デス,助動詞,助動詞-デス,終止形-一般,デス,デス,和,です,デス
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,ああ,ああ,アア,感動詞-一般,,,アー,アア,和,ああ,アア
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
