辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形)
現代語,B,走れ,走る,ハシル,動詞-一般,五段-ラ行,命令形,ハシレ,ハシレ,和,走る,ハシル
現代語,I,メロス,メロス-melos,メロス,名詞-普通名詞-一般,,,メロス,メロス,外,メロス,メロス
現代語,B,太宰,ダザイ,ダザイ,名詞-固有名詞-人名-姓,,,ダザイ,ダザイ,固,太宰,ダザイ
現代語,I,治,オサム,オサム,名詞-固有名詞-人名-名,,,オサム,オサム,固,治,オサム
現代語,B,:n::n::n:　,　,,空白,,,,,記号,　,
現代語,I,メロス,メロス-melos,メロス,名詞-普通名詞-一般,,,メロス,メロス,外,メロス,メロス
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,激怒,激怒,ゲキド,名詞-普通名詞-サ変可能,,,ゲキド,ゲキド,漢,激怒,ゲキド
現代語,I,し,為る,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル
現代語,I,た,た,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,必ず,必ず,カナラズ,副詞,,,カナラズ,カナラズ,和,必ず,カナラズ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,かの,彼の,カノ,連体詞,,,カノ,カノ,和,かの,カノ
現代語,I,邪智,邪知,ジャチ,名詞-普通名詞-一般,,,ジャチ,ジャチ,漢,邪智,ジャチ
現代語,I,暴虐,暴虐,ボウギャク,名詞-普通名詞-形状詞可能,,,ボーギャク,ボウギャク,漢,暴虐,ボウギャク
現代語,I,じ,師,シ,接尾辞-名詞的-一般,,,ジ,ジ,漢,じ,シ
現代語,I,ゃちぼうぎゃくの,,,名詞,,,,,,,　
現代語,I,王,王,オウ,名詞-普通名詞-一般,,,オー,オウ,漢,王,オウ
現代語,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ
現代語,I,除か,除く,ノゾク,動詞-一般,五段-カ行,未然形-一般,ノゾカ,ノゾカ,和,除く,ノゾク
