辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形)
現代語,B,ヴィヨン,ビヨン-外国,ビヨン,名詞-固有名詞-人名-一般,,,ビヨン,ヴィヨン,固,ヴィヨン,ビヨン
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,妻,妻,ツマ,名詞-普通名詞-一般,,,ツマ,ツマ,和,妻,ツマ
現代語,B,太宰,ダザイ,ダザイ,名詞-固有名詞-人名-姓,,,ダザイ,ダザイ,固,太宰,ダザイ
現代語,I,治,オサム,オサム,名詞-固有名詞-人名-名,,,オサム,オサム,固,治,オサム
現代語,B,:n::n:+,＋,,補助記号-一般,,,,,記号,+,
現代語,I,目次,目次,モクジ,名詞-普通名詞-一般,,,モクジ,モクジ,漢,目次,モクジ
現代語,B,:n:一,一,イチ,名詞-数詞,,,イチ,イチ,漢,一,イチ
現代語,B,:n:　,　,,空白,,,,,記号,　,
現代語,I,あわただしく,慌ただしい,アワタダシイ,形容詞-一般,形容詞,連用形-一般,アワタダシク,アワタダシク,和,あわただしい,アワタダシイ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,玄関,玄関,ゲンカン,名詞-普通名詞-一般,,,ゲンカン,ゲンカン,漢,玄関,ゲンカン
現代語,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ
現代語,I,あける,開ける,アケル,動詞-一般,下一段-カ行,連体形-一般,アケル,アケル,和,あける,アケル
現代語,I,音,音,オト,名詞-普通名詞-一般,,,オト,オト,和,音,オト
現代語,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ
現代語,I,聞え,聞こえる,キコエル,動詞-一般,下一段-ア行,連用形-一般,キコエ,キコエ,和,聞える,キコエル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,私,私-代名詞,ワタクシ,代名詞,,,ワタクシ,ワタクシ,和,私,ワタクシ
