辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形)
現代語,B,グッド,グッド-good,グッド,名詞-普通名詞-形状詞可能,,,グッド,グッド,外,グッド,グッド
現代語,I,・,・,,補助記号-一般,,,,・,記号,・,
現代語,I,バイ,バイ-by,バイ,名詞-普通名詞-一般,,,バイ,バイ,外,バイ,バイ
現代語,B,太宰,ダザイ,ダザイ,名詞-固有名詞-人名-姓,,,ダザイ,ダザイ,固,太宰,ダザイ
現代語,I,治,オサム,オサム,名詞-固有名詞-人名-名,,,オサム,オサム,固,治,オサム
現代語,B,:n::n:+,＋,,補助記号-一般,,,,,記号,+,
現代語,I,目次,目次,モクジ,名詞-普通名詞-一般,,,モクジ,モクジ,漢,目次,モクジ
現代語,B,:n:変心,変心,ヘンシン,名詞-普通名詞-サ変可能,,,ヘンシン,ヘンシン,漢,変心,ヘンシン
現代語,I,　,　,,空白,,,,,記号,　,
現代語,I,（,（,,補助記号-括弧開,,,,,記号,（,
現代語,I,一,一,イチ,名詞-数詞,,,イチ,イチ,漢,一,イチ
現代語,I,）,）,,補助記号-括弧閉,,,,,記号,）,
現代語,B,:n:　,　,,空白,,,,,記号,　,
現代語,I,文壇,文壇,ブンダン,名詞-普通名詞-一般,,,ブンダン,ブンダン,漢,文壇,ブンダン
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,或,或る,アル,連体詞,,,アル,アル,和,或,アル
現代語,I,ある,或る,アル,連体詞,,,アル,アル,和,ある,アル
現代語,I,老大,ラオタイ,ラオタイ,名詞-普通名詞-一般,,,ラオタイ,ラオタイ,外,老大,ラオタイ
現代語,I,家,家,カ,接尾辞-名詞的-一般,,,カ,カ,漢,家,カ
現代語,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ
現代語,I,亡,無い,ナイ,形容詞-非自立可能,文語形容詞-ク,連体形-一般,ナキ,ナキ,和,亡し,ナシ
現代語,I,なく,無い,ナイ,形容詞-非自立可能,形容詞,連用形-一般,ナク,ナク,和,ない,ナイ
現代語,I,なっ,成る,ナル,動詞-非自立可能,五段-ラ行,連用形-促音便,ナッ,ナッ,和,なる,ナル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,その,其の,ソノ,連体詞,,,ソノ,ソノ,和,その,ソノ
現代語,I,告別,告別,コクベツ,名詞-普通名詞-サ変可能,,,コクベツ,コクベツ,漢,告別,コクベツ
現代語,I,式,式,シキ,名詞-普通名詞-一般,,,シキ,シキ,漢,式,シキ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,終り頃,終わり頃,オワリゴロ,名詞-普通名詞-副詞可能,,,オワリゴロ,オワリゴロ,和,終り頃,オワリゴロ
現代語,I,から,から,カラ,助詞-格助詞,,,カラ,カラ,和,から,カラ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,雨,雨,アメ,名詞-普通名詞-一般,,,アメ,アメ,和,雨,アメ
現代語,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ
現代語,I,降り,降る,フル,動詞-一般,五段-ラ行,連用形-一般,フリ,フリ,和,降る,フル
現代語,I,はじめ,始める,ハジメル,動詞-非自立可能,下一段-マ行,連用形-一般,ハジメ,ハジメ,和,はじめる,ハジメル
現代語,I,た,た,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,早春,早春,ソウシュン,名詞-普通名詞-一般,,,ソーシュン,ソウシュン,漢,早春,ソウシュン
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,雨,雨,アメ,名詞-普通名詞-一般,,,アメ,アメ,和,雨,アメ
現代語,I,で,だ,ダ,助動詞,助動詞-ダ,連用形-一般,デ,デ,和,だ,ダ
現代語,I,ある,有る,アル,動詞-非自立可能,五段-ラ行,終止形-一般,アル,アル,和,ある,アル
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,B,　,　,,空白,,,,,記号,　,
現代語,I,その,其の,ソノ,連体詞,,,ソノ,ソノ,和,その,ソノ
現代語,I,帰り,返る,カエル,動詞-一般,五段-ラ行,連用形-一般,カエリ,カエリ,和,帰る,カエル
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,二人,二人,フタリ,名詞-普通名詞-副詞可能,,,フタリ,フタリ,和,二人,フタリ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,男,男,オトコ,名詞-普通名詞-一般,,,オトコ,オトコ,和,男,オトコ
現代語,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ
現代語,I,相合,相合,ソウゴウ,名詞-普通名詞-一般,,,ソーゴー,ソウゴウ,漢,相合,ソウゴウ
現代語,I,傘,傘,サン,接尾辞-名詞的-一般,,,サン,サン,漢,傘,サン
現代語,I,あいあい,アイアイ-aye aye,アイアイ,名詞-普通名詞-一般,,,アイアイ,アイアイ,外,あいあい,アイアイ
現代語,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ
現代語,I,さ,さ,サ,接尾辞-名詞的-一般,,,サ,サ,和,さ,サ
現代語,I,で,で,デ,助詞-格助詞,,,デ,デ,和,で,デ
現代語,I,歩い,歩く,アルク,動詞-一般,五段-カ行,連用形-イ音便,アルイ,アルイ,和,歩く,アルク
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,いる,居る,イル,動詞-非自立可能,上一段-ア行,終止形-一般,イル,イル,和,いる,イル
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
現代語,I,いずれ,何れ,イズレ,代名詞,,,イズレ,イズレ,和,いずれ,イズレ
現代語,I,も,も,モ,助詞-係助詞,,,モ,モ,和,も,モ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,その,其の,ソノ,連体詞,,,ソノ,ソノ,和,その,ソノ
現代語,I,逝去,逝去,セイキョ,名詞-普通名詞-サ変可能,,,セーキョ,セイキョ,漢,逝去,セイキョ
現代語,I,せい,所為,セイ,名詞-普通名詞-一般,,,セー,セイ,漢,せい,セイ
現代語,I,きょし,巨嘴,キョシ,名詞-普通名詞-一般,,,キョシ,キョシ,漢,きょし,キョシ
現代語,I,た,た,タ,助動詞,助動詞-タ,連体形-一般,タ,タ,和,た,タ
現代語,I,老,老,ロウ,接頭辞,,,ロー,ロウ,漢,老,ロウ
現代語,I,大家,大家,タイカ,名詞-普通名詞-一般,,,タイカ,タイカ,漢,大家,タイカ
現代語,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,お,御,オ,接頭辞,,,オ,オ,和,お,オ
現代語,I,義理,義理,ギリ,名詞-普通名詞-一般,,,ギリ,ギリ,漢,義理,ギリ
現代語,I,一,一,イチ,名詞-数詞,,,イッ,イッ,漢,一,イチ
現代語,I,ぺん,遍,ヘン,接尾辞-名詞的-助数詞,,,ペン,ペン,漢,ぺん,ヘン
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,話題,話題,ワダイ,名詞-普通名詞-一般,,,ワダイ,ワダイ,漢,話題,ワダイ
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,女,女,オンナ,名詞-普通名詞-一般,,,オンナ,オンナ,和,女,オンナ
現代語,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ
現代語,I,就,,,名詞,,,,,,,　
現代語,I,つい,つく,ツク,動詞-一般,五段-カ行,連用形-イ音便,ツイ,ツイ,和,つく,ツク
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,、,、,,補助記号-読点,,,,,記号,、,
現代語,I,極,極く,ゴク,副詞,,,ゴク,ゴク,和,極,ゴク
現代語,I,きわめて,極めて,キワメテ,副詞,,,キワメテ,キワメテ,和,きわめて,キワメテ
現代語,I,不,不,フ,接頭辞,,,フ,フ,漢,不,フ
現代語,I,きんし,金糸,キンシ,名詞-普通名詞-一般,,,キンシ,キンシ,漢,きんし,キンシ
現代語,I,んな,そんな,ソンナ,連体詞,,,ンナ,ンナ,和,んな,ンナ
現代語,I,事,事,コト,名詞-普通名詞-一般,,,コト,コト,和,事,コト
現代語,I,。,。,,補助記号-句点,,,,,記号,。,
